,Index,Chapter,Content,Word_Count,Text_Length,Location,LocationType,Time,Event,ESummary,EImportance,CTag,CText,Character,ERole
54,54,3,"The first question of course was, how to get dry again: they had a consultation about this, and after a few minutes it seemed quite natural to Alice to find herself talking familiarly with them, as if she had known them all her life. Indeed, she had quite a long argument with the Lory, who at last turned sulky, and would only say, “I am older than you, and must know better;” and this Alice would not allow without knowing how old it was, and, as the Lory positively refused to tell its age, there was no more to be said.",101,523,bank,EXT,day,Alice Engages in Argument with the Lory,"Alice finds herself in a familiar conversation with the animals, engaging in an argument with the Lory about age, which ends with the Lory sulking as it refuses to disclose its age.",6.0,Action,Alice finds herself talking familiarly with the birds and animals.,Alice,
55,55,3,"At last the Mouse, who seemed to be a person of authority among them, called out, “Sit down, all of you, and listen to me! _I’ll_ soon make you dry enough!” They all sat down at once, in a large ring, with the Mouse in the middle. Alice kept her eyes anxiously fixed on it, for she felt sure she would catch a bad cold if she did not get dry very soon.",73,352,bank,EXT,day,Mouse's attempt to dry the group,"The Mouse, taking charge, proposes to recite a dry historical narrative in hopes of drying everyone off. This sets a comedic tone and highlights the absurdity of their situation.",6.0,Action,The Mouse calls the group to sit down and listen.,Mouse,Inciting Incident
56,56,3,"“Ahem!” said the Mouse with an important air, “are you all ready? This is the driest thing I know. Silence all round, if you please! ‘William the Conqueror, whose cause was favoured by the pope, was soon submitted to by the English, who wanted leaders, and had been of late much accustomed to usurpation and conquest. Edwin and Morcar, the earls of Mercia and Northumbria—’”",65,374,bank,EXT,day,Mouse's attempt to dry the group,"The Mouse, taking charge, proposes to recite a dry historical narrative in hopes of drying everyone off. This sets a comedic tone and highlights the absurdity of their situation.",6.0,Statement,The Mouse begins to read an uninteresting account to the group.,Mouse,Inciting Incident
57,57,3,"“Ugh!” said the Lory, with a shiver.",7,36,bank,EXT,day,The Mouse's Boring Tale,"The Mouse starts telling a tedious story about William the Conqueror, which fails to amuse the other creatures, leading to interruptions and side comments from the group.",5.0,Statement,The Lory expresses discomfort at the Mouse's reading.,Lory,
58,58,3,"“I beg your pardon!” said the Mouse, frowning, but very politely: “Did you speak?”",14,82,bank,EXT,day,The Mouse's Boring Tale,,5.0,,,,
59,59,3,“Not I!” said the Lory hastily.,6,31,bank,EXT,day,The Mouse's Boring Tale,,5.0,,,,
60,60,3,"“I thought you did,” said the Mouse. “—I proceed. ‘Edwin and Morcar, the earls of Mercia and Northumbria, declared for him: and even Stigand, the patriotic archbishop of Canterbury, found it advisable—’”",32,203,bank,EXT,day,The Mouse's Boring Tale,,5.0,,,,
61,61,3,“Found _what_?” said the Duck.,5,30,bank,EXT,day,The Mouse's Boring Tale,,5.0,Statement,The Duck questions the Mouse about what the archbishop found.,Duck,
62,62,3,"“Found _it_,” the Mouse replied rather crossly: “of course you know what ‘it’ means.”",14,85,bank,EXT,day,The Mouse's Boring Tale,,5.0,,,,
63,63,3,"“I know what ‘it’ means well enough, when _I_ find a thing,” said the Duck: “it’s generally a frog or a worm. The question is, what did the archbishop find?”",30,157,bank,EXT,day,The Mouse's Boring Tale,,5.0,,,,
64,64,3,"The Mouse did not notice this question, but hurriedly went on, “‘—found it advisable to go with Edgar Atheling to meet William and offer him the crown. William’s conduct at first was moderate. But the insolence of his Normans—’ How are you getting on now, my dear?” it continued, turning to Alice as it spoke.",55,309,bank,EXT,day,The Mouse's Boring Tale,,5.0,,,,
65,65,3,"“As wet as ever,” said Alice in a melancholy tone: “it doesn’t seem to dry me at all.”",18,86,bank,EXT,day,The Mouse's Boring Tale,,5.0,Statement,Alice laments that she is still wet.,Alice,
66,66,3,"“In that case,” said the Dodo solemnly, rising to its feet, “I move that the meeting adjourn, for the immediate adoption of more energetic remedies—”",25,149,bank,EXT,day,The Mouse's Boring Tale,,5.0,Statement,The Dodo motions for adjournment to find a better way to get dry.,Dodo,
67,67,3,"“Speak English!” said the Eaglet. “I don’t know the meaning of half those long words, and, what’s more, I don’t believe you do either!” And the Eaglet bent down its head to hide a smile: some of the other birds tittered audibly.",42,228,bank,EXT,day,The Mouse's Boring Tale,,5.0,Statement,The Eaglet expresses confusion about the Dodo's language.,Eaglet,
68,68,3,"“What I was going to say,” said the Dodo in an offended tone, “was, that the best thing to get us dry would be a Caucus-race.”",26,126,bank,EXT,day,Introduction of the Caucus-race,The Dodo proposes a Caucus-race as a way to dry off the group. This peculiar race offers no clear rules and represents the nonsensical nature of Wonderland.,7.0,Statement,The Dodo suggests a Caucus-race as a solution.,Dodo,Turning Point
69,69,3,"“What _is_ a Caucus-race?” said Alice; not that she wanted much to know, but the Dodo had paused as if it thought that _somebody_ ought to speak, and no one else seemed inclined to say anything.",36,194,bank,EXT,day,Introduction of the Caucus-race,The Dodo proposes a Caucus-race as a way to dry off the group. This peculiar race offers no clear rules and represents the nonsensical nature of Wonderland.,7.0,,,,Turning Point
70,70,3,"“Why,” said the Dodo, “the best way to explain it is to do it.” (And, as you might like to try the thing yourself, some winter day, I will tell you how the Dodo managed it.)",36,173,bank,EXT,day,Proposal of the Caucus-race,,7.0,,,,
